plant,cut length (m),primary_length (m),k (10-9 m/s/MPa),_length (m),surface (m2),Jv (uL/s),Jexp (uL/s)
Exp03_P2.txt,0.0,0.434,174.7,3.979,0.005643500494241343,0.10353098834266657,0.1
Exp03_P2.txt,0.064,0.37,174.7,3.9130000000000003,0.005425788123347491,0.10467399178667064,0.11
Exp03_P2.txt,0.134,0.3,174.7,3.835,0.005185380887124098,0.10747427697823222,0.1
Exp03_P2.txt,0.184,0.25,174.7,3.694,0.004912382768712372,0.11072095912537126,0.1
Exp03_P2.txt,0.23399999999999999,0.2,174.7,3.45,0.0045170698819257445,0.12005190196164413,0.12
Exp03_P2.txt,0.294,0.14,174.7,2.998,0.003853640911711085,0.17640647357761388,0.18
