arch,dP_Mpa,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,lcut1,lcut2,lcut3,lcut4,lcut5,lcut6,lcut7,lcut8,lcut9,dP0,dP1,dP2,dP3,dP4,dP5,dP6,dP7,dP8,dP9
Exp03_P2,0.2,0.1,0.11,0.1,0.1,0.12,0.18,,,,,0.37,0.3,0.25,0.2,0.14,,,,,,,,,,,,,,
Exp05_P13,0.3,0.01,0.01,0.01,0.02,0.01,0.02,,,,,0.26,0.22,0.18,0.14,0.11,,,,,,,,,,,,,,
