distance_from_base_(mm)	lateral_root_length_(mm)	order	averaged_diameter_(mm)
0.0	0.6549583400000001	1	0.16513593
13.4488	3.5665554	1	0.22604177
18.125064	4.4979584	1	0.27447648
23.926237	4.3539223	1	0.32028455
26.588748	5.824989	1	0.31121885
28.09732	9.817308	1	0.25399853
29.05353	8.736991	1	0.22500483000000002
30.123234	9.826079	1	0.24489801
30.509112	6.712166699999999	1	0.28219534
31.695282	13.020463	1	0.28444095999999996
33.918018000000004	13.135414999999998	1	0.27828927999999997
33.969972	9.990851	1	0.32329209999999997
34.30643	6.735664	1	0.2099836
37.624399999999994	12.720065	1	0.3401221
37.860756	15.496851	1	0.33521811999999995
41.07235	3.7086534999999996	1	0.21564765
42.62402	9.971348599999999	1	0.27453251
44.375854	9.0410465	1	0.30322451
45.09872	12.916888	1	0.3323261
45.680237000000005	5.4418087	1	0.2511713
49.353313	2.8811530000000003	1	0.28238436
50.22776	3.270255	1	0.21590427999999998
51.466813	5.7448095	1	0.27868679
53.404790000000006	4.2862168	1	0.21515235
53.68686	3.4718972	1	0.20973966
55.29532	17.073653	1	0.34660958
58.172354999999996	3.5661706	1	0.2489204
59.639773	8.510325	1	0.3132705
60.8596	2.4182704	1	0.21267222
61.413918	2.6698234999999997	1	0.14431839
61.48732	8.8241196	1	0.30095397
62.73894	3.2406464	1	0.2010882
63.400702	3.9426208000000003	1	0.18979321999999998
64.60162	3.978471	1	0.19116744000000002
64.79186	3.2585043000000002	1	0.28392775
65.386786	3.1811013999999997	1	0.22404376
66.39505	3.2208207	1	0.13572136
66.395636	3.718816	1	0.16404036
68.15266	20.349822	1	0.46041813
68.23044	4.3339542	1	0.22107149999999998
68.461533	15.661955	1	0.32660469999999997
68.572655	3.1895176	1	0.16493866
69.303045	3.4047672	1	0.19043699
69.975505	4.3092915	1	0.21323252
70.01905	2.5086215000000003	1	0.18345585
70.11271500000001	1.9585765999999998	1	0.15860908
70.372744	4.708086	1	0.2221917
70.866833	2.4020384	1	0.168655
70.93058	3.1870842	1	0.17383876999999998
71.218996	2.0746623	1	0.14817640999999998
71.530657	3.644959	1	0.16601996000000002
72.68331500000001	4.8536405	1	0.21629401999999998
72.74189	2.5259995	1	0.19845016
72.8643	17.957772000000002	1	0.40150926000000003
73.91103700000001	1.895327	1	0.10530272
74.40817	0.8121258	1	0.16273415
75.41317000000001	1.5409328	1	0.19045652999999999
75.759077	3.4415	1	0.13524591
76.211834	1.7622879	1	0.18985718
76.79755	2.3863936999999997	1	0.22530603999999999
76.836677	1.2058064	1	0.23280831
77.65555	1.660861	1	0.15732856
79.19143	16.001643	1	0.41988786
79.885335	2.3822178	1	0.21644447
79.913564	16.107837	1	0.25274543
80.25464	3.2247007	1	0.21836136
80.86629	4.7663695	1	0.28570449000000003
81.41698	6.21729	1	0.29321132
81.77903	11.057711999999999	1	0.36921993
82.51431	1.4395596	1	0.31749036
84.52669	3.057127	1	0.16931683
84.71873000000001	4.4670874	1	0.23104960000000002
85.41469	7.517879	1	0.31914115
86.08998	2.2449943	1	0.2118466
86.67569999999999	2.7905938000000003	1	0.248956
86.856165	3.5223383000000004	1	0.20906068
87.20038000000001	2.285464	1	0.12698639
88.13163	6.185485	1	0.27508857000000003
88.31248000000001	6.748763	1	0.27515836
88.70233999999999	4.677077499999999	1	0.30305061
89.79006999999999	5.391323	1	0.26553158
90.02533	2.4386455000000002	1	0.17357721999999998
90.62326	6.810583	1	0.30310950999999997
92.18431000000001	6.986629	1	0.33909429999999996
92.343855	2.2115847	1	0.25400288
93.22691	3.6466369999999997	1	0.25389927
93.48340999999999	1.5357204999999998	1	0.20693092
94.50554	3.8818622000000005	1	0.28856061
95.67572	1.8931578	1	0.19538948
95.76689	1.568987	1	0.18340023
95.98580999999999	3.696034	1	0.21155447
96.17022499999999	2.3861223000000003	1	0.26541378
96.473875	2.708297	1	0.12626322
96.68131000000001	1.4810643000000001	1	0.16933759999999998
97.46463	6.7692613999999995	1	0.3123066
97.98776000000001	2.420196	1	0.13867923000000001
98.05984000000001	4.042681	1	0.21944534000000002
98.35024000000001	3.294607	1	0.12228083000000001
98.652725	3.3171287	1	0.16328700000000002
99.11403	2.2905824	1	0.20045325
99.78493	3.3357694999999996	1	0.15865675999999998
99.90419	1.5210454000000002	1	0.14774676
100.02543	2.4369332	1	0.18665845
