plant,cut length (m),primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s),Jexp (uL/s)
200703-YBFB-Col-2-cut-n-flow-archi2.txt,0.0,0.1628,10.4,3.3767,0.0010193143665442083,0.023306267024405698,0.0532
200703-YBFB-Col-2-cut-n-flow-archi2.txt,0.061799999999999994,0.101,10.4,3.0607,0.0009138448179777508,0.053853724874664125,0.0549
200703-YBFB-Col-2-cut-n-flow-archi2.txt,0.0937,0.0691,10.4,2.0475000000000003,0.000599681468547903,0.09433047524524799,0.0606
200703-YBFB-Col-2-cut-n-flow-archi2.txt,0.1164,0.0464,10.4,1.1485,0.00033029649584700766,0.1240623511325385,0.0838
